,Pressure (psi),Cylinder volume (mL),Pressure (bar),Cylinder volume (L),Time (min),Delta_V (L),Gas uptake (mol of gas),Gas uptake (mol of gas / mol of water)
15,423.800018,414.091705,29.219982636076317,0.414091705,75.0,0.0,0.0,0.0
16,423.800018,386.301178,29.219982636076317,0.386301178,80.0,0.027790526999999954,0.03899083651121451,0.014048616743675052
17,423.800018,372.791656,29.219982636076317,0.37279165599999997,85.0,0.041300049000000005,0.05794504934951939,0.020877925772908194
18,423.800018,367.28894,29.219982636076317,0.36728894,90.0,0.04680276499999997,0.0656655038743164,0.023659648772737896
19,423.800018,361.498688,29.219982636076317,0.361498688,95.0,0.052593016999999964,0.07378937893040054,0.026586726449145327
20,423.800018,355.086975,29.219982636076317,0.355086975,100.0,0.05900472999999995,0.08278518002981217,0.02982796396174949
21,423.800018,348.348541,29.219982636076317,0.348348541,105.0,0.06574316399999997,0.09223937924077388,0.03323436488097458
22,423.800018,340.917328,29.219982636076317,0.340917328,110.0,0.07317437699999996,0.10266556551507562,0.036990978182248634
23,423.800018,332.301514,29.219982636076317,0.332301514,115.0,0.08179019099999996,0.11475377798708215,0.04134642882990243
24,423.800018,323.863647,29.219982636076317,0.32386364700000003,120.0,0.09022805799999994,0.12659232616216254,0.045611924033253676
25,423.800018,313.366333,29.219982636076317,0.313366333,125.0,0.10072537199999998,0.14132033236301236,0.05091850714425459
26,423.800018,297.483795,29.219982636076317,0.297483795,130.0,0.11660790999999998,0.16360394873851877,0.05894741891260125
27,423.800018,279.487274,29.219982636076317,0.279487274,135.0,0.13460443099999997,0.18885353857471152,0.06804498752828458
28,423.800018,259.299194,29.219982636076317,0.259299194,140.0,0.15479251099999997,0.2171779430293417,0.07825042906995279
29,423.800018,241.432617,29.219982636076317,0.241432617,145.0,0.172659088,0.24224521803359142,0.08728230863072399
30,423.800018,226.612885,29.219982636076317,0.22661288500000001,150.0,0.18747881999999996,0.2630376897831201,0.09477395263992096
31,423.800018,211.445694,29.219982636076317,0.21144569400000002,155.0,0.20264601099999996,0.28431765560080197,0.10244124349184032
32,423.800018,195.87439,29.219982636076317,0.19587439,160.0,0.21821731499999997,0.3061646025309708,0.11031282081368295
33,423.800018,186.257706,29.219982636076317,0.18625770600000002,165.0,0.22783399899999995,0.31965706180041936,0.11517422944623719
34,423.800018,181.520157,29.219982636076317,0.18152015700000002,170.0,0.23257154799999996,0.3263039670038676,0.11756914661370872
35,423.800018,174.351593,29.219982636076317,0.174351593,175.0,0.23974011199999998,0.3363616498590426,0.12119298606945227
36,423.800018,167.791733,29.219982636076317,0.167791733,180.0,0.24629997199999998,0.34556530507567296,0.1245091145844734
37,423.800018,163.966354,29.219982636076317,0.163966354,185.0,0.250125351,0.3509324119024861,0.1264429132299724
38,423.800018,161.882065,29.219982636076317,0.16188206500000002,190.0,0.25220963999999996,0.3538567239042384,0.12749655922035097
39,423.800018,160.58287,29.219982636076317,0.16058287000000002,195.0,0.253508835,0.3556795284822584,0.1281533259175172
40,423.800018,158.726089,29.219982636076317,0.15872608900000001,200.0,0.25536561599999996,0.35828464080733696,0.12909196247687205
41,423.800018,158.726089,29.219982636076317,0.15872608900000001,205.0,0.25536561599999996,0.35828464080733696,0.12909196247687205
42,423.800018,158.726089,29.219982636076317,0.15872608900000001,210.0,0.25536561599999996,0.35828464080733696,0.12909196247687205
43,423.800018,158.469742,29.219982636076317,0.158469742,215.0,0.25562196299999995,0.3586443023555739,0.12922155054680648
44,423.800018,154.953552,29.219982636076317,0.154953552,220.0,0.259138153,0.36357760892555613,0.13099904853048785
45,423.800018,149.595261,29.219982636076317,0.149595261,225.0,0.26449644399999994,0.37109543139651935,0.13370776206658175
46,424.600006,147.203537,29.27513986702544,0.14720353700000002,230.0,0.2668881679999999,0.3751579170087995,0.13517149838260573
47,425.0,147.203537,29.3027184825,0.14720353700000002,235.0,0.2668881679999999,0.37551133413959437,0.13529883655396704
48,423.800018,144.477692,29.219982636076317,0.144477692,240.0,0.269614013,0.37827551460306885,0.1362947862543675
49,423.800018,140.360641,29.219982636076317,0.14036064099999998,245.0,0.273731064,0.38405184487738625,0.1383760303996536
50,423.800018,136.478882,29.219982636076317,0.136478882,250.0,0.277612823,0.3894980543193639,0.140338330160371
51,423.800018,133.791229,29.219982636076317,0.13379122899999998,255.0,0.28030047599999997,0.3932689017999415,0.14169698762436903
52,424.399994,132.318542,29.261349525074564,0.132318542,260.0,0.281773163,0.3958947982820425,0.1426431128318903
53,423.800018,131.015228,29.219982636076317,0.131015228,265.0,0.28307647699999994,0.3971637038361162,0.14310030660889417
54,423.800018,130.35437,29.219982636076317,0.13035437,270.0,0.283737335,0.3980909049012536,0.14343438234498912
55,423.800018,129.742828,29.219982636076317,0.129742828,275.0,0.284348877,0.3989489143280537,0.14374352794631798
56,424.600006,129.389816,29.27513986702544,0.129389816,280.0,0.284701889,0.4001982120305554,0.14419365690459648
57,423.800018,129.124969,29.219982636076317,0.129124969,285.0,0.284966736,0.39981578667113593,0.14405586690601566
58,424.399994,133.010315,29.261349525074564,0.133010315,290.0,0.28108139,0.39492284861381954,0.14229291392351143
59,423.800018,131.901291,29.219982636076317,0.13190129099999998,295.0,0.282190414,0.39592053426356244,0.14265238565015342
60,423.800018,130.64801,29.219982636076317,0.13064801,300.0,0.283443695,0.3976789202982573,0.14328594198541578
61,424.600006,130.50798,29.27513986702544,0.13050798,305.0,0.28358372499999995,0.39862643730461755,0.14362733766890262
62,425.600006,130.50798,29.34408743992544,0.13050798,310.0,0.28358372499999995,0.39956526545269017,0.1439656027080908
63,423.800018,130.342987,29.219982636076317,0.130342987,315.0,0.283748718,0.39810687554808616,0.14344013665847852
64,423.800018,129.719391,29.219982636076317,0.12971939100000002,320.0,0.28437231399999996,0.39898179705227516,0.14375537577599826
65,423.800018,129.38002,29.219982636076317,0.12938002,325.0,0.284711685,0.3994579434448085,0.1439269339876478
66,423.800018,129.283371,29.219982636076317,0.12928337099999998,330.0,0.284808334,0.39959354452059853,0.14397579181462097
67,423.800018,129.089554,29.219982636076317,0.129089554,335.0,0.285002151,0.3998654748427581,0.14407376983250486
68,423.800018,129.02182,29.219982636076317,0.12902181999999998,340.0,0.28506988499999997,0.39996050741699635,0.14410801060118533
69,424.399994,128.971329,29.261349525074564,0.128971329,345.0,0.28512037599999995,0.4005976741745987,0.1443375853520833
70,423.800018,128.971329,29.219982636076317,0.128971329,350.0,0.28512037599999995,0.40003134761107717,0.14413353471981774
71,425.600006,128.971329,29.34408743992544,0.128971329,355.0,0.28512037599999995,0.4017303839365635,0.1447457070224939
72,425.399994,128.971329,29.330297097974565,0.128971329,360.0,0.28512037599999995,0.40154158953708236,0.14467768334311218
73,425.200012,128.971329,29.316508824450878,0.128971329,365.0,0.28512037599999995,0.4013528234550622,0.14460966986667026
