,Pressure (psi),Cylinder volume (mL),Pressure (bar),Cylinder volume (L),Time (min),Delta_V (L),Gas uptake (mol of gas),Gas uptake (mol of gas / mol of water)
0,423.800018,409.594666,29.219982636076317,0.40959466600000005,0.0,0.0,0.0,0.0
1,423.800018,408.244202,29.219982636076317,0.408244202,5.0,0.0013504640000000512,0.0018933771528612503,0.0006821943910879645
2,423.800018,408.179077,29.219982636076317,0.408179077,10.0,0.0014155890000000504,0.0019846836868229723,0.0007150926465909631
3,423.800018,408.172363,29.219982636076317,0.40817236300000004,15.0,0.0014223030000000136,0.0019940968471917346,0.0007184842609855263
4,423.800018,408.17218,29.219982636076317,0.40817218000000005,20.0,0.0014224860000000006,0.001994353416799624,0.0007185767044520387
5,423.800018,408.17218,29.219982636076317,0.40817218000000005,25.0,0.0014224860000000006,0.001994353416799624,0.0007185767044520387
6,423.800018,408.17218,29.219982636076317,0.40817218000000005,30.0,0.0014224860000000006,0.001994353416799624,0.0007185767044520387
7,424.399994,408.17218,29.261349525074564,0.40817218000000005,35.0,0.0014224860000000006,0.001997176833823636,0.0007195939974169255
8,424.399994,408.17218,29.261349525074564,0.40817218000000005,40.0,0.0014224860000000006,0.001997176833823636,0.0007195939974169255
9,424.399994,408.17218,29.261349525074564,0.40817218000000005,45.0,0.0014224860000000006,0.001997176833823636,0.0007195939974169255
10,424.600006,408.17218,29.27513986702544,0.40817218000000005,50.0,0.0014224860000000006,0.001998118066949305,0.0007199331289830097
11,424.399994,408.17218,29.261349525074564,0.40817218000000005,55.0,0.0014224860000000006,0.001997176833823636,0.0007195939974169255
12,424.600006,408.17218,29.27513986702544,0.40817218000000005,60.0,0.0014224860000000006,0.001998118066949305,0.0007199331289830097
13,424.600006,408.17218,29.27513986702544,0.40817218000000005,65.0,0.0014224860000000006,0.001998118066949305,0.0007199331289830097
14,424.600006,408.17218,29.27513986702544,0.40817218000000005,70.0,0.0014224860000000006,0.001998118066949305,0.0007199331289830097
15,424.600006,408.17218,29.27513986702544,0.40817218000000005,75.0,0.0014224860000000006,0.001998118066949305,0.0007199331289830097
16,424.600006,408.17218,29.27513986702544,0.40817218000000005,80.0,0.0014224860000000006,0.001998118066949305,0.0007199331289830097
