,Pressure (psi),Cylinder volume (mL),Pressure (bar),Cylinder volume (L),Time (min),Delta_V (L),Gas uptake (mol of gas),Gas uptake (mol of gas / mol of water)
0,423.800018,413.489105,29.219982636076317,0.413489105,0.0,0.0,0.0,0.0
1,423.800018,412.121521,29.219982636076317,0.412121521,5.0,0.0013675840000000328,0.0019173797303878991,0.0006908426541852502
2,423.800018,411.923126,29.219982636076317,0.41192312600000003,10.0,0.0015659789999999951,0.0021955334318133515,0.0007910629904695688
3,423.800018,411.891968,29.219982636076317,0.41189196800000005,15.0,0.0015971369999999707,0.002239217562103979,0.0008068026272444116
4,423.800018,411.879761,29.219982636076317,0.41187976099999996,20.0,0.001609344000000068,0.0022563320167693097,0.0008129690611012762
5,423.800018,411.879364,29.219982636076317,0.411879364,25.0,0.0016097409999999979,0.0022568886185962023,0.000813169607856476
6,423.800018,411.879364,29.219982636076317,0.411879364,30.0,0.0016097409999999979,0.0022568886185962023,0.000813169607856476
7,423.800018,411.879364,29.219982636076317,0.411879364,35.0,0.0016097409999999979,0.0022568886185962023,0.000813169607856476
8,423.800018,411.879364,29.219982636076317,0.411879364,40.0,0.0016097409999999979,0.0022568886185962023,0.000813169607856476
9,423.800018,411.879364,29.219982636076317,0.411879364,45.0,0.0016097409999999979,0.0022568886185962023,0.000813169607856476
10,424.399994,411.879364,29.261349525074564,0.411879364,50.0,0.0016097409999999979,0.0022600837081391927,0.0008143208165113168
11,424.399994,411.879364,29.261349525074564,0.411879364,55.0,0.0016097409999999979,0.0022600837081391927,0.0008143208165113168
12,424.399994,411.879364,29.261349525074564,0.411879364,60.0,0.0016097409999999979,0.0022600837081391927,0.0008143208165113168
13,424.399994,411.879364,29.261349525074564,0.411879364,65.0,0.0016097409999999979,0.0022600837081391927,0.0008143208165113168
14,423.800018,411.878937,29.219982636076317,0.411878937,70.0,0.001610168000000023,0.0022574872810146892,0.0008133853092783663
15,423.800018,403.061157,29.219982636076317,0.403061157,75.0,0.01042794800000002,0.014620188686573249,0.005267735856828987
16,423.800018,374.73175,29.219982636076317,0.37473175,80.0,0.03875735500000005,0.054338575824553675,0.01957849316561131
17,423.800018,360.785004,29.219982636076317,0.360785004,85.0,0.052704101,0.07389218868143689,0.02662376937817833
18,423.800018,353.171661,29.219982636076317,0.35317166099999997,90.0,0.06031744400000005,0.08456624566710677,0.030469691884834307
19,423.800018,346.054169,29.219982636076317,0.346054169,95.0,0.067434936,0.09454510977490388,0.03406513250451261
20,423.800018,338.843201,29.219982636076317,0.33884320100000004,100.0,0.07464590399999999,0.10465502907761244,0.0377077930448266
21,423.800018,330.144257,29.219982636076317,0.330144257,105.0,0.08334484800000003,0.11685112006827857,0.04210211292687315
22,423.800018,320.971771,29.219982636076317,0.320971771,110.0,0.092517334,0.1297111262789876,0.046735645180626395
23,423.800018,312.756165,29.219982636076317,0.31275616500000003,115.0,0.10073293999999999,0.1412295678644791,0.05088580418715186
24,423.800018,300.273499,29.219982636076317,0.300273499,120.0,0.11321560600000002,0.1587305116965228,0.05719149225512267
25,423.800018,284.732483,29.219982636076317,0.284732483,125.0,0.12875662200000004,0.18051932252498626,0.0650421228139587
26,423.800018,267.197357,29.219982636076317,0.267197357,130.0,0.146291748,0.20510391488801252,0.07390008911607429
27,423.800018,248.378906,29.219982636076317,0.248378906,135.0,0.165110199,0.2314877542022317,0.08340633417048762
28,423.800018,227.987549,29.219982636076317,0.227987549,140.0,0.185501556,0.26007683873883236,0.09370714142789824
29,423.800018,210.184525,29.219982636076317,0.210184525,145.0,0.20330458,0.28503702937955966,0.10270043789281988
30,423.800018,194.923508,29.219982636076317,0.194923508,150.0,0.21856559700000003,0.30643327608974674,0.11040962540148186
31,423.800018,177.880829,29.219982636076317,0.17788082900000002,155.0,0.235608276,0.3303274480500115,0.11901882936612825
32,423.800018,163.461365,29.219982636076317,0.163461365,160.0,0.25002774000000005,0.3505438208626924,0.1263029017022249
33,423.800018,152.186829,29.219982636076317,0.152186829,165.0,0.261302276,0.3663509426160385,0.13199829618983733
34,423.800018,142.784714,29.219982636076317,0.142784714,170.0,0.270704391,0.3795328932119621,0.13674782680847195
35,423.800018,133.832001,29.219982636076317,0.133832001,175.0,0.279657104,0.39208477334377106,0.14127033951049145
36,423.800018,127.632721,29.219982636076317,0.127632721,180.0,0.285856384,0.4007762861247037,0.14440194023793304
37,423.800018,122.207588,29.219982636076317,0.122207588,185.0,0.29128151700000005,0.40838242954906245,0.14714247630813268
38,423.800018,116.469917,29.219982636076317,0.11646991699999999,190.0,0.29701918800000005,0.41642675741121515,0.15004089268510235
39,423.800018,112.863213,29.219982636076317,0.112863213,195.0,0.300625892,0.42148342752662205,0.15186283924503607
40,423.800018,111.20607,29.219982636076317,0.11120607,200.0,0.30228303500000003,0.42380677468376504,0.1526999542364988
41,423.800018,111.064957,29.219982636076317,0.111064957,205.0,0.302424148,0.4240046178918562,0.152771238252296
42,425.399994,111.064957,29.330297097974565,0.111064957,210.0,0.302424148,0.42560536631965856,0.15334799687502437
43,425.0,111.064957,29.3027184825,0.111064957,215.0,0.302424148,0.42520517921270795,0.1532038072193423
44,425.399994,111.064957,29.330297097974565,0.111064957,220.0,0.302424148,0.42560536631965856,0.15334799687502437
45,423.200012,114.74453,29.178613678650876,0.11474453,225.0,0.298744575,0.41825279208864063,0.15069882320517292
46,425.399994,114.626503,29.330297097974565,0.114626503,230.0,0.29886260200000003,0.42059315714251877,0.15154206984012952
47,427.0,114.669914,29.440613628300003,0.11466991400000001,235.0,0.298819191,0.4221137611272796,0.15208995197122116
48,423.800018,116.434723,29.219982636076317,0.116434723,240.0,0.297054382,0.41647610009307684,0.15005867112969612
49,423.800018,115.93499,29.219982636076317,0.11593499,245.0,0.297554115,0.4171767356114844,0.15031111403053726
50,423.800018,115.774849,29.219982636076317,0.115774849,250.0,0.297714256,0.4174012564507191,0.15039201014623024
51,423.800018,115.548271,29.219982636076317,0.11554827100000001,255.0,0.29794083400000004,0.41771892327378224,0.1505064672815141
52,424.800018,115.548271,29.288930208976314,0.11554827100000001,260.0,0.29794083400000004,0.4187045743014652,0.15086160286643402
53,425.200012,115.548271,29.316508824450878,0.11554827100000001,265.0,0.29794083400000004,0.4190988287986323,0.1510036549695885
54,425.200012,115.548271,29.316508824450878,0.11554827100000001,270.0,0.29794083400000004,0.4190988287986323,0.1510036549695885
55,426.0,115.548271,29.371666055400002,0.11554827100000001,275.0,0.29794083400000004,0.4198873377929664,0.15128775917589743
56,424.800018,115.548271,29.288930208976314,0.11554827100000001,280.0,0.29794083400000004,0.4187045743014652,0.15086160286643402
57,425.200012,115.548271,29.316508824450878,0.11554827100000001,285.0,0.29794083400000004,0.4190988287986323,0.1510036549695885
58,423.800018,115.54821,29.219982636076317,0.11554821,290.0,0.29794089500000004,0.41771900879698487,0.15050649809600292
59,423.800018,115.294968,29.219982636076317,0.115294968,295.0,0.298194137,0.4180740590737378,0.15063442469899854
